player,team,total_minutes,most_frequent_position
Aaron Ciammaglichella,Torino,1,CM
Aaron Cresswell,West Ham United,29,LB
Aaron Malouda,Lille,0,
Aaron Ramsdale,Arsenal,0,
Aaron Ramsdale,Southampton,990,GK
Aaron Wan-Bissaka,West Ham United,1354,RB
Aarón Martín,Genoa,1278,LB
Abakar Sylla,Strasbourg,651,CB
Abdallah Sima,Brest,480,LW
Abde Ezzalzouli,Real Betis,1362,LW
Abdel Abqar,Alavés,1488,CB
Abdelhamid Ait Boudlal,Rennes,0,
Abdenego Nankishi,Werder Bremen,0,
Abderrahman Rebbach,Alavés,385,LW
Abdou Harroui,Hellas Verona,283,AM
Abdoul Koné,Reims,120,RB
Abdoulaye Bamba,Angers,610,CB
Abdoulaye Doucouré,Everton,1343,AM
Abdoulaye Keita,Getafe,82,LM
Abdoulaye Niakhate Ndiaye,Brest,596,CB
Abdoulaye Touré,Le Havre,1334,CM
Abdoulie Ceesay,St. Pauli,0,
Abdukodir Khusanov,Lens,975,CB
Abdul Fatawu Issahaku,Leicester City,579,RW
Abdul Mumin,Rayo Vallecano,1443,CB
Abdulai Juma Bah,Valladolid,774,CB
Abdón Prats,Mallorca,218,FW
Abel,Osasuna,1146,LB
Abel Ruiz,Girona,902,FW
Abner,Lyon,789,LB
Aboubacar Bassinga,Las Palmas,4,AM
Achraf Dari,Brest,0,
Achraf Hakimi,Paris Saint-Germain,1298,RB
Adam Armstrong,Southampton,871,FW
Adam Aznou,Bayern Munich,11,LB
Adam Delplace,Lens,0,
Adam Dźwigała,St. Pauli,126,RM
Adam Hložek,Hoffenheim,1067,FW
Adam Lallana,Southampton,265,CM
Adam Marušić,Lazio,757,RB
Adam Masina,Torino,1393,CB
Adam Obert,Cagliari,608,LB
Adam Smith,Bournemouth,1035,RB
Adam Webster,Brighton & Hove Albion,104,CB
Adam Wharton,Crystal Palace,622,CM
Adama Boiro,Athletic Club,465,LB
Adama Bojang,Reims,0,
Adama Traoré,Fulham,941,RW
Ademola Lookman,Atalanta,758,AM
Adnan Januzaj,Las Palmas,305,RM
Ado Onaiwu,Auxerre,516,AM
Adri Embarba,Rayo Vallecano,910,LM
Adrian Baquerin,Valladolid,3,FW
Adrian Beck,Heidenheim,452,RW
Adrian Benedyczak,Parma,146,LW
Adrian Bernabe,Parma,644,DM
Adrian Rodriguez,Alavés,0,
Adrien Rabiot,Marseille,955,AM
Adrien Tameze,Torino,373,CM
Adrien Thomasson,Lens,1375,CM
Adrien Truffert,Rennes,1225,LB
Adrià Altimira,Leganés,778,RB
Adrià Pedrosa,Sevilla,1020,LB
Adrián,Real Betis,0,
Adryelson,Lyon,1,CB
Adu Ares,Athletic Club,19,RW
Agon Elezi,Bochum,0,
Aihen Muñoz,Real Sociedad,399,LB
Aimar Oroz,Osasuna,1495,LM
Aimen Moueffek,Saint-Étienne,496,CM
Ainsley Maitland-Niles,Lyon,1112,RB
Aitor Fernández,Osasuna,0,
Aitor Fraga,Real Sociedad,0,
Aitor Gismera,Atlético Madrid,0,
Aitor Paredes,Athletic Club,1024,CB
Aitor Ruibal,Real Betis,640,RW
Akim Zedadka,Lille,0,
Akor Adams,Montpellier,1075,FW
Aladji Bamba,Monaco,0,
Alan Do Marcolino,Rennes,0,
Alan Matturro,Genoa,652,CB
Alassane Diatta,Villarreal,0,
Alassane Pléa,Mönchengladbach,1092,AM
Alban Lafont,Nantes,1080,GK
Albert Grønbaek,Rennes,813,AM
Albert Guðmundsson,Fiorentina,343,AM
Albert Sambi Lokonga,Sevilla,847,DM
Alberto Cerri,Como,87,FW
Alberto Chiesurin,Venezia,0,
Alberto Dossena,Como,1251,CB
Alberto Grassi,Empoli,773,CM
Alberto López,Sevilla,0,
Alberto Manzoni,Atalanta,6,CM
Alberto Marí,Valencia,7,FW
Alberto Moleiro,Las Palmas,1373,LW
Alberto Moreno,Como,1229,LB
Alberto Paleari,Torino,90,GK
Alberto Risco,Getafe,69,DM
Alcázar,Real Betis,0,
Aleix García,Bayer Leverkusen,480,CM
Alejandro Balde,Barcelona,1288,LB
Alejandro Francés,Girona,556,RB
Alejandro Garnacho,Manchester United,1034,AM
Alejandro Iturbe,Atlético Madrid,0,
Alejandro Jay Agustín,Alavés,0,
Alejandro Jiménez,Milan,118,LB
Alejo Véliz,Espanyol,774,FW
Aleksandar Andreev,Girona,0,
Aleksandar Pavlovic,Bayern Munich,567,DM
Aleksandar Sedlar,Alavés,426,CB
Aleksandr Golovin,Monaco,974,AM
Alen Sherri,Cagliari,540,GK
Alessandro Bastoni,Internazionale,1324,CB
Alessandro Berardi,Hellas Verona,0,
Alessandro Berretta,Monza,0,
Alessandro Bianco,Fiorentina,18,CM
Alessandro Bianco,Monza,848,CM
Alessandro Buongiorno,Napoli,1350,CB
Alessandro Calligaris,Internazionale,0,
Alessandro Circati,Parma,360,CB
Alessandro Deiola,Cagliari,721,CM
Alessandro Dellavalle,Torino,0,
Alessandro Di Pardo,Cagliari,0,
Alessandro Fontanarosa,Internazionale,0,
Alessandro Gabrielloni,Como,103,FW
Alessandro Marcandalli,Genoa,46,CB
Alessandro Romano,Roma,0,
Alessandro Sorrentino,Monza,0,
Alessandro Vogliacco,Genoa,715,CB
Alessandro Zanoli,Genoa,881,WB
Alessio Chiesa,Como,0,
Alessio Furlanetto,Lazio,0,
Alessio Iovine,Como,309,RB
